date_key,full_date,day_of_week,day_number,month_number,month_name,quarter,year,is_weekend,is_holiday
20220101,2022-01-01,Saturday,1,1,January,1,2022,TRUE,FALSE
20220102,2022-01-02,Sunday,2,1,January,1,2022,TRUE,FALSE
20220103,2022-01-03,Monday,3,1,January,1,2022,FALSE,FALSE
20220104,2022-01-04,Tuesday,4,1,January,1,2022,FALSE,FALSE
20220105,2022-01-05,Wednesday,5,1,January,1,2022,FALSE,FALSE
20220106,2022-01-06,Thursday,6,1,January,1,2022,FALSE,FALSE
20220107,2022-01-07,Friday,7,1,January,1,2022,FALSE,FALSE
20220108,2022-01-08,Saturday,8,1,January,1,2022,TRUE,FALSE
20220109,2022-01-09,Sunday,9,1,January,1,2022,TRUE,FALSE
20220110,2022-01-10,Monday,10,1,January,1,2022,FALSE,FALSE
20220111,2022-01-11,Tuesday,11,1,January,1,2022,FALSE,FALSE
20220112,2022-01-12,Wednesday,12,1,January,1,2022,FALSE,FALSE
20220113,2022-01-13,Thursday,13,1,January,1,2022,FALSE,FALSE
20220114,2022-01-14,Friday,14,1,January,1,2022,FALSE,FALSE
20220115,2022-01-15,Saturday,15,1,January,1,2022,TRUE,FALSE
20220116,2022-01-16,Sunday,16,1,January,1,2022,TRUE,FALSE
20220117,2022-01-17,Monday,17,1,January,1,2022,FALSE,FALSE
20220118,2022-01-18,Tuesday,18,1,January,1,2022,FALSE,FALSE
20220119,2022-01-19,Wednesday,19,1,January,1,2022,FALSE,FALSE
20220120,2022-01-20,Thursday,20,1,January,1,2022,FALSE,FALSE
20220121,2022-01-21,Friday,21,1,January,1,2022,FALSE,FALSE
20220122,2022-01-22,Saturday,22,1,January,1,2022,TRUE,FALSE
20220123,2022-01-23,Sunday,23,1,January,1,2022,TRUE,FALSE
20220124,2022-01-24,Monday,24,1,January,1,2022,FALSE,FALSE
20220125,2022-01-25,Tuesday,25,1,January,1,2022,FALSE,FALSE
20220126,2022-01-26,Wednesday,26,1,January,1,2022,FALSE,FALSE
20220127,2022-01-27,Thursday,27,1,January,1,2022,FALSE,FALSE
20220128,2022-01-28,Friday,28,1,January,1,2022,FALSE,FALSE
20220129,2022-01-29,Saturday,29,1,January,1,2022,TRUE,FALSE
20220130,2022-01-30,Sunday,30,1,January,1,2022,TRUE,FALSE
20220131,2022-01-31,Monday,31,1,January,1,2022,FALSE,FALSE
20220201,2022-02-01,Tuesday,1,2,February,1,2022,FALSE,FALSE
20220202,2022-02-02,Wednesday,2,2,February,1,2022,FALSE,FALSE
20220203,2022-02-03,Thursday,3,2,February,1,2022,FALSE,FALSE
20220204,2022-02-04,Friday,4,2,February,1,2022,FALSE,FALSE
20220205,2022-02-05,Saturday,5,2,February,1,2022,TRUE,FALSE
20220206,2022-02-06,Sunday,6,2,February,1,2022,TRUE,FALSE
20220207,2022-02-07,Monday,7,2,February,1,2022,FALSE,FALSE
20220208,2022-02-08,Tuesday,8,2,February,1,2022,FALSE,FALSE
20220209,2022-02-09,Wednesday,9,2,February,1,2022,FALSE,FALSE
20220210,2022-02-10,Thursday,10,2,February,1,2022,FALSE,FALSE
20220211,2022-02-11,Friday,11,2,February,1,2022,FALSE,FALSE
20220212,2022-02-12,Saturday,12,2,February,1,2022,TRUE,FALSE
20220213,2022-02-13,Sunday,13,2,February,1,2022,TRUE,FALSE
20220214,2022-02-14,Monday,14,2,February,1,2022,FALSE,FALSE
20220215,2022-02-15,Tuesday,15,2,February,1,2022,FALSE,FALSE
20220216,2022-02-16,Wednesday,16,2,February,1,2022,FALSE,FALSE
20220217,2022-02-17,Thursday,17,2,February,1,2022,FALSE,FALSE
20220218,2022-02-18,Friday,18,2,February,1,2022,FALSE,FALSE
20220219,2022-02-19,Saturday,19,2,February,1,2022,TRUE,FALSE
20220220,2022-02-20,Sunday,20,2,February,1,2022,TRUE,FALSE
20220221,2022-02-21,Monday,21,2,February,1,2022,FALSE,FALSE
20220222,2022-02-22,Tuesday,22,2,February,1,2022,FALSE,FALSE
20220223,2022-02-23,Wednesday,23,2,February,1,2022,FALSE,FALSE
20220224,2022-02-24,Thursday,24,2,February,1,2022,FALSE,FALSE
20220225,2022-02-25,Friday,25,2,February,1,2022,FALSE,FALSE
20220226,2022-02-26,Saturday,26,2,February,1,2022,TRUE,FALSE
20220227,2022-02-27,Sunday,27,2,February,1,2022,TRUE,FALSE
20220228,2022-02-28,Monday,28,2,February,1,2022,FALSE,FALSE
20220301,2022-03-01,Tuesday,1,3,March,1,2022,FALSE,FALSE
20220302,2022-03-02,Wednesday,2,3,March,1,2022,FALSE,FALSE
20220303,2022-03-03,Thursday,3,3,March,1,2022,FALSE,FALSE
20220304,2022-03-04,Friday,4,3,March,1,2022,FALSE,FALSE
20220305,2022-03-05,Saturday,5,3,March,1,2022,TRUE,FALSE
20220306,2022-03-06,Sunday,6,3,March,1,2022,TRUE,FALSE
20220307,2022-03-07,Monday,7,3,March,1,2022,FALSE,FALSE
20220308,2022-03-08,Tuesday,8,3,March,1,2022,FALSE,FALSE
20220309,2022-03-09,Wednesday,9,3,March,1,2022,FALSE,FALSE
20220310,2022-03-10,Thursday,10,3,March,1,2022,FALSE,FALSE
20220311,2022-03-11,Friday,11,3,March,1,2022,FALSE,FALSE
20220312,2022-03-12,Saturday,12,3,March,1,2022,TRUE,FALSE
20220313,2022-03-13,Sunday,13,3,March,1,2022,TRUE,FALSE
20220314,2022-03-14,Monday,14,3,March,1,2022,FALSE,FALSE
20220315,2022-03-15,Tuesday,15,3,March,1,2022,FALSE,FALSE
20220316,2022-03-16,Wednesday,16,3,March,1,2022,FALSE,FALSE
20220317,2022-03-17,Thursday,17,3,March,1,2022,FALSE,FALSE
20220318,2022-03-18,Friday,18,3,March,1,2022,FALSE,FALSE
20220319,2022-03-19,Saturday,19,3,March,1,2022,TRUE,FALSE
20220320,2022-03-20,Sunday,20,3,March,1,2022,TRUE,FALSE
20220321,2022-03-21,Monday,21,3,March,1,2022,FALSE,FALSE
20220322,2022-03-22,Tuesday,22,3,March,1,2022,FALSE,FALSE
20220323,2022-03-23,Wednesday,23,3,March,1,2022,FALSE,FALSE
20220324,2022-03-24,Thursday,24,3,March,1,2022,FALSE,FALSE
20220325,2022-03-25,Friday,25,3,March,1,2022,FALSE,FALSE
20220326,2022-03-26,Saturday,26,3,March,1,2022,TRUE,FALSE
20220327,2022-03-27,Sunday,27,3,March,1,2022,TRUE,FALSE
20220328,2022-03-28,Monday,28,3,March,1,2022,FALSE,FALSE
20220329,2022-03-29,Tuesday,29,3,March,1,2022,FALSE,FALSE
20220330,2022-03-30,Wednesday,30,3,March,1,2022,FALSE,FALSE
20220331,2022-03-31,Thursday,31,3,March,1,2022,FALSE,FALSE
20220401,2022-04-01,Friday,1,4,April,2,2022,FALSE,FALSE
20220402,2022-04-02,Saturday,2,4,April,2,2022,TRUE,FALSE
20220403,2022-04-03,Sunday,3,4,April,2,2022,TRUE,FALSE
20220404,2022-04-04,Monday,4,4,April,2,2022,FALSE,FALSE
20220405,2022-04-05,Tuesday,5,4,April,2,2022,FALSE,FALSE
20220406,2022-04-06,Wednesday,6,4,April,2,2022,FALSE,FALSE
20220407,2022-04-07,Thursday,7,4,April,2,2022,FALSE,FALSE
20220408,2022-04-08,Friday,8,4,April,2,2022,FALSE,FALSE
20220409,2022-04-09,Saturday,9,4,April,2,2022,TRUE,FALSE
20220410,2022-04-10,Sunday,10,4,April,2,2022,TRUE,FALSE
20220411,2022-04-11,Monday,11,4,April,2,2022,FALSE,FALSE
20220412,2022-04-12,Tuesday,12,4,April,2,2022,FALSE,FALSE
20220413,2022-04-13,Wednesday,13,4,April,2,2022,FALSE,FALSE
20220414,2022-04-14,Thursday,14,4,April,2,2022,FALSE,FALSE
20220415,2022-04-15,Friday,15,4,April,2,2022,FALSE,FALSE
20220416,2022-04-16,Saturday,16,4,April,2,2022,TRUE,FALSE
20220417,2022-04-17,Sunday,17,4,April,2,2022,TRUE,FALSE
20220418,2022-04-18,Monday,18,4,April,2,2022,FALSE,FALSE
20220419,2022-04-19,Tuesday,19,4,April,2,2022,FALSE,FALSE
20220420,2022-04-20,Wednesday,20,4,April,2,2022,FALSE,FALSE
20220421,2022-04-21,Thursday,21,4,April,2,2022,FALSE,FALSE
20220422,2022-04-22,Friday,22,4,April,2,2022,FALSE,FALSE
20220423,2022-04-23,Saturday,23,4,April,2,2022,TRUE,FALSE
20220424,2022-04-24,Sunday,24,4,April,2,2022,TRUE,FALSE
20220425,2022-04-25,Monday,25,4,April,2,2022,FALSE,FALSE
20220426,2022-04-26,Tuesday,26,4,April,2,2022,FALSE,FALSE
20220427,2022-04-27,Wednesday,27,4,April,2,2022,FALSE,FALSE
20220428,2022-04-28,Thursday,28,4,April,2,2022,FALSE,FALSE
20220429,2022-04-29,Friday,29,4,April,2,2022,FALSE,FALSE
20220430,2022-04-30,Saturday,30,4,April,2,2022,TRUE,FALSE
