sale_id,date_key,product_key,store_key,customer_key,quantity,unit_price,discount_pct,total_amount,payment_method
1,20230224,8,6,4279,2,2299.0,10,4138.2,Cash
2,20240116,13,9,2330,2,2999.0,0,5998.0,Card
3,20241018,4,6,3800,2,11999.0,0,23998.0,Card
4,20240711,8,3,169,3,2299.0,10,6207.3,Card
5,20230913,2,6,1148,2,27999.0,15,47598.3,Card
6,20240502,8,1,1412,3,2299.0,5,6552.15,Card
7,20230616,3,6,332,3,6499.0,0,19497.0,Card
8,20221215,14,3,3589,2,1399.0,0,2798.0,Card
9,20220527,17,3,788,1,695.0,15,590.75,Card
10,20230516,6,2,2099,1,6299.0,20,5039.2,Card
11,20241215,13,2,3831,2,2999.0,5,5698.1,EFT
12,20220910,13,3,3286,3,2999.0,5,8547.15,Card
13,20230607,3,4,592,2,6499.0,0,12998.0,Card
14,20230422,11,5,2434,2,8999.0,0,17998.0,EFT
15,20230724,12,8,59,3,11499.0,0,34497.0,Card
16,20240716,7,6,4314,1,1899.0,10,1709.1,Card
17,20230615,8,4,943,1,2299.0,15,1954.15,EFT
18,20221202,3,4,4059,3,6499.0,0,19497.0,Card
19,20230329,5,2,1045,2,1799.0,5,3418.1,Card
20,20230106,18,7,4398,1,549.0,10,494.1,Card
21,20240227,16,7,2534,1,295.0,10,265.5,Card
22,20240404,6,4,2147,1,6299.0,0,6299.0,EFT
23,20240607,11,1,818,2,8999.0,10,16198.2,Card
24,20231124,11,8,1388,3,8999.0,15,22947.45,EFT
25,20221117,14,4,2308,3,1399.0,0,4197.0,EFT
26,20220523,7,1,3625,2,1899.0,0,3798.0,Card
27,20230507,8,3,4929,1,2299.0,20,1839.2,Card
28,20240316,5,4,2068,1,1799.0,15,1529.15,Card
29,20240219,1,7,4407,3,12999.0,0,38997.0,Card
30,20231122,1,4,794,3,12999.0,20,31197.6,Card
31,20230301,13,1,4629,1,2999.0,10,2699.1,Card
32,20221204,2,4,2614,3,27999.0,10,75597.3,Card
33,20231011,17,2,3153,2,695.0,10,1251.0,Card
34,20241225,1,1,67,2,12999.0,20,20798.4,Cash
35,20220212,16,8,4520,5,295.0,0,1475.0,Card
36,20240403,1,3,1599,2,12999.0,15,22098.3,Card
37,20231104,6,4,3925,3,6299.0,0,18897.0,EFT
38,20240218,10,1,1562,1,1599.0,10,1439.1,Card
39,20220404,15,1,3475,5,449.0,0,2245.0,Card
40,20221011,12,4,3208,1,11499.0,0,11499.0,Card
41,20221219,5,10,556,3,1799.0,15,4587.45,Card
42,20230714,15,6,1040,4,449.0,0,1796.0,Cash
43,20240227,15,6,2526,2,449.0,15,763.3,Card
44,20221026,9,8,2510,3,1299.0,0,3897.0,EFT
45,20240929,3,5,4429,2,6499.0,0,12998.0,Cash
46,20230227,10,1,1154,3,1599.0,0,4797.0,Card
47,20230408,15,4,3732,2,449.0,15,763.3,EFT
48,20221101,6,2,4225,3,6299.0,0,18897.0,Card
49,20220430,10,3,4548,2,1599.0,5,3038.1,Card
50,20220131,10,5,707,2,1599.0,20,2558.4,Cash
51,20240304,1,7,4995,2,12999.0,0,25998.0,Card
52,20230808,5,6,346,1,1799.0,10,1619.1,Cash
53,20240622,8,6,786,2,2299.0,5,4368.1,Card
54,20241106,2,1,992,2,27999.0,0,55998.0,Cash
55,20221228,13,3,3963,2,2999.0,20,4798.4,Card
56,20220310,1,8,3448,1,12999.0,15,11049.15,Cash
57,20241212,5,5,182,2,1799.0,0,3598.0,Card
58,20240807,9,6,2913,2,1299.0,0,2598.0,Card
59,20231126,8,8,2637,2,2299.0,5,4368.1,EFT
60,20220726,17,1,2817,3,695.0,5,1980.75,EFT
61,20230617,1,6,2200,2,12999.0,20,20798.4,EFT
62,20220122,2,6,4605,1,27999.0,0,27999.0,Card
63,20230502,3,6,2404,3,6499.0,0,19497.0,Card
64,20240313,1,10,2826,1,12999.0,20,10399.2,EFT
65,20220306,16,4,1139,3,295.0,0,885.0,Card
66,20220320,18,7,3876,3,549.0,10,1482.3,Card
67,20240816,8,4,3753,2,2299.0,0,4598.0,Card
68,20241124,8,3,1082,3,2299.0,15,5862.45,Cash
69,20220218,10,8,466,1,1599.0,10,1439.1,Card
70,20221217,7,5,660,3,1899.0,0,5697.0,Card
71,20241006,2,6,1286,1,27999.0,0,27999.0,Card
72,20240622,9,8,3742,1,1299.0,0,1299.0,Card
73,20241227,13,7,4107,2,2999.0,10,5398.2,Card
74,20241204,6,3,1137,2,6299.0,15,10708.3,Card
75,20231114,18,8,2950,1,549.0,10,494.1,Card
76,20221218,18,4,1375,3,549.0,10,1482.3,Card
77,20240922,8,1,369,1,2299.0,0,2299.0,Card
78,20230321,4,6,2790,1,11999.0,0,11999.0,Card
79,20230713,8,2,2176,3,2299.0,15,5862.45,Card
80,20230107,1,8,2551,2,12999.0,0,25998.0,Card
81,20240302,6,7,3952,1,6299.0,10,5669.1,Cash
82,20241025,11,8,4281,1,8999.0,20,7199.2,Card
83,20240209,3,6,2982,3,6499.0,20,15597.6,Card
84,20230301,4,2,4297,1,11999.0,0,11999.0,Card
85,20241001,10,3,3771,2,1599.0,0,3198.0,Card
86,20231006,15,6,3092,4,449.0,10,1616.4,Card
87,20241121,3,1,2163,3,6499.0,20,15597.6,Card
88,20240913,8,5,3593,1,2299.0,0,2299.0,Card
89,20240319,9,3,2072,3,1299.0,0,3897.0,EFT
90,20230201,8,6,4234,3,2299.0,20,5517.6,Card
91,20240419,6,3,743,3,6299.0,15,16062.45,EFT
92,20230822,7,3,2592,3,1899.0,0,5697.0,Cash
93,20230114,2,5,2606,1,27999.0,0,27999.0,EFT
94,20230716,9,1,227,2,1299.0,0,2598.0,EFT
95,20220408,20,1,2610,3,500.0,10,1350.0,Card
96,20220405,17,10,4355,2,695.0,5,1320.5,Cash
97,20230417,13,9,3469,3,2999.0,5,8547.15,Card
98,20231122,15,6,3406,5,449.0,0,2245.0,Card
99,20220227,8,4,1718,1,2299.0,15,1954.15,EFT
100,20240325,5,9,894,1,1799.0,0,1799.0,EFT
101,20241224,5,6,1654,1,1799.0,5,1709.05,EFT
102,20231002,18,2,2847,2,549.0,10,988.2,Card
103,20241102,13,10,3812,2,2999.0,0,5998.0,Card
104,20220528,13,5,4214,2,2999.0,0,5998.0,Card
105,20230909,1,2,3807,2,12999.0,0,25998.0,Card
106,20231011,2,10,24,3,27999.0,10,75597.3,Card
107,20221113,5,2,2293,3,1799.0,10,4857.3,Card
108,20220909,20,8,3075,1,500.0,0,500.0,EFT
109,20230416,4,6,1469,3,11999.0,15,30597.45,EFT
110,20241122,1,2,1235,1,12999.0,5,12349.05,EFT
111,20240425,2,6,1866,2,27999.0,0,55998.0,Card
112,20220704,3,3,4157,2,6499.0,0,12998.0,Card
113,20240503,14,3,2980,1,1399.0,10,1259.1,Card
114,20240122,13,8,2014,2,2999.0,0,5998.0,EFT
115,20230811,16,2,2618,3,295.0,0,885.0,Card
116,20240605,16,10,1849,5,295.0,0,1475.0,Card
117,20221217,11,9,1108,2,8999.0,5,17098.1,EFT
118,20220819,4,4,293,2,11999.0,10,21598.2,Cash
119,20240705,19,6,1794,3,49.0,5,139.65,Card
120,20230526,8,5,519,3,2299.0,0,6897.0,Cash
121,20221212,3,5,3595,2,6499.0,15,11048.3,Card
122,20231204,1,8,2946,2,12999.0,0,25998.0,Card
123,20241023,1,5,1031,2,12999.0,10,23398.2,Card
124,20231203,5,3,3736,2,1799.0,0,3598.0,Card
125,20230725,5,3,3209,2,1799.0,5,3418.1,Cash
126,20231216,10,10,319,3,1599.0,10,4317.3,Card
127,20231023,6,5,1091,1,6299.0,0,6299.0,Card
128,20230109,1,2,502,2,12999.0,0,25998.0,EFT
129,20220407,2,1,3520,3,27999.0,10,75597.3,Card
130,20240512,4,7,2785,3,11999.0,0,35997.0,EFT
131,20240707,2,3,1205,1,27999.0,0,27999.0,Cash
132,20230521,2,2,1293,3,27999.0,10,75597.3,EFT
133,20240903,19,1,17,2,49.0,0,98.0,Card
134,20230121,3,7,1280,1,6499.0,0,6499.0,Card
135,20220206,4,1,457,1,11999.0,0,11999.0,Card
136,20220922,7,9,1404,3,1899.0,0,5697.0,Card
137,20240226,5,6,4001,3,1799.0,0,5397.0,EFT
138,20241114,5,7,4950,2,1799.0,10,3238.2,Card
139,20240125,8,4,4821,2,2299.0,15,3908.3,Card
140,20230602,8,3,459,3,2299.0,20,5517.6,Card
141,20230728,17,2,567,2,695.0,0,1390.0,Cash
142,20220920,10,1,441,2,1599.0,0,3198.0,Card
143,20230428,2,10,1000,3,27999.0,5,79797.15,Card
144,20230810,12,4,4014,3,11499.0,0,34497.0,Card
145,20220917,3,3,4901,3,6499.0,15,16572.45,Cash
146,20230811,7,4,4456,3,1899.0,0,5697.0,EFT
147,20230125,18,2,2289,2,549.0,0,1098.0,Cash
148,20220812,3,2,4343,1,6499.0,0,6499.0,Cash
149,20240424,2,4,2666,1,27999.0,0,27999.0,Card
150,20230315,20,3,3976,3,500.0,0,1500.0,Cash
151,20240909,5,10,348,3,1799.0,0,5397.0,Card
152,20230123,3,3,1315,1,6499.0,20,5199.2,Card
153,20221204,6,4,216,3,6299.0,20,15117.6,Card
154,20231201,4,8,2855,1,11999.0,0,11999.0,Card
155,20241025,12,5,1550,1,11499.0,10,10349.1,Card
156,20220611,17,8,4529,3,695.0,0,2085.0,Card
157,20240419,7,6,4772,2,1899.0,20,3038.4,Card
158,20240504,14,5,2789,1,1399.0,0,1399.0,Cash
159,20240128,4,5,2961,3,11999.0,5,34197.15,Card
160,20230923,20,3,3908,1,500.0,0,500.0,Card
161,20240514,11,1,3949,1,8999.0,15,7649.15,Card
162,20240921,1,4,2487,3,12999.0,0,38997.0,Card
163,20240316,5,6,2868,1,1799.0,20,1439.2,Card
164,20221219,4,3,3120,2,11999.0,0,23998.0,Cash
165,20240127,6,2,1142,2,6299.0,0,12598.0,EFT
166,20220829,14,6,3023,3,1399.0,0,4197.0,EFT
167,20220529,2,6,3015,2,27999.0,10,50398.2,Card
168,20240215,19,2,3344,4,49.0,10,176.4,EFT
169,20230922,14,9,2174,1,1399.0,5,1329.05,Cash
170,20230526,8,2,3476,2,2299.0,0,4598.0,Card
171,20240821,5,2,1277,1,1799.0,10,1619.1,Card
172,20221221,12,2,3343,3,11499.0,0,34497.0,Card
173,20241224,5,1,1702,2,1799.0,0,3598.0,Card
174,20220729,15,2,982,1,449.0,20,359.2,Card
175,20230312,15,4,2028,1,449.0,20,359.2,EFT
176,20230415,12,10,1527,1,11499.0,5,10924.05,Card
177,20240510,13,3,3640,2,2999.0,10,5398.2,Cash
178,20230803,7,6,3124,2,1899.0,0,3798.0,Card
179,20230920,10,8,304,2,1599.0,0,3198.0,Card
180,20231011,12,6,301,1,11499.0,0,11499.0,Card
181,20241231,18,4,76,2,549.0,10,988.2,Cash
182,20240130,18,1,4172,2,549.0,0,1098.0,EFT
183,20231209,1,3,4786,1,12999.0,0,12999.0,EFT
184,20241211,12,4,1576,3,11499.0,0,34497.0,EFT
185,20240818,5,5,253,2,1799.0,20,2878.4,Cash
186,20221015,12,4,464,2,11499.0,0,22998.0,Card
187,20220419,7,6,2249,3,1899.0,0,5697.0,Card
188,20220218,5,7,1778,1,1799.0,5,1709.05,EFT
189,20231008,7,3,3171,2,1899.0,0,3798.0,Card
190,20230713,14,6,2190,1,1399.0,0,1399.0,Cash
191,20221108,18,3,173,3,549.0,5,1564.65,Card
192,20221216,2,4,424,3,27999.0,0,83997.0,Card
193,20230320,4,3,858,2,11999.0,0,23998.0,Card
194,20220427,12,2,3858,1,11499.0,0,11499.0,Card
195,20240524,10,2,293,2,1599.0,0,3198.0,EFT
196,20240904,18,1,2087,3,549.0,10,1482.3,Card
197,20241126,5,1,296,2,1799.0,0,3598.0,Card
198,20241013,3,1,1189,2,6499.0,0,12998.0,Cash
199,20240208,5,8,1449,2,1799.0,0,3598.0,Cash
